name,type,data_type,description,example
charge_df_perday,column,string,คิดค่า DF รายวัน,Y
nhso_code,column,string,รหัสสิทธิในระบบ สปสช.,71
ipd_hour_cut,column,string,ตัดรอบชั่วโมงผู้ป่วยใน,6
pttype_spp_id,column,string,รหัสเชื่อม SPP,NULL
print_presc_ned,column,string,พิมพ์ใบสั่งยากลุ่ม NED,N
hos_guid,column,string,GUID สถานพยาบาล,NULL
sks_benefit_plan_type_id,column,string,รหัสแผนสิทธิ สกส.,NULL
pttype_std_code,column,string,รหัสมาตรฐานสิทธิ,NULL
export_eclaim,column,string,ส่งออกข้อมูล e-Claim,Y
round_money,column,string,ปัดเศษยอดเงิน,N
pttype_price_policy_type_id,column,string,นโยบายการคิดราคาของสิทธิ,2
emp_privilege,column,string,สิทธิพนักงาน,NULL
is_pttype_plan,column,string,เป็นแผนสิทธิหรือไม่,NULL
finance_round_money,column,string,ปัดเศษทางการเงิน,NULL
emp_financial,column,string,สิทธิด้านการเงินพนักงาน,NULL
pttype_price_group_id,column,string,กลุ่มราคาสิทธิ,2
calc_discount,column,string,คำนวณส่วนลดอัตโนมัติ,NULL
debt_finance_limit,column,string,วงเงินหนี้ทางการเงิน,NULL
debt_finance_pttype,column,string,ประเภทสิทธิที่ใช้คุมหนี้,NULL
opbkk_type_code,column,string,รหัส OPBKK,NULL
ipd_bedcharge_24,column,string,คิดค่าเตียง 24 ชั่วโมง,NULL
nhso_subinscl,column,string,รหัสสิทธิย่อย สปสช.,NULL
grouper_version,column,string,เวอร์ชัน DRG Grouper,5
rx_queue_group_id,column,string,กลุ่มคิวรับยา,NULL
inc_round_money,column,string,ปัดเศษหมวดรายได้,NULL
hospmain_list,column,string,รายชื่อโรงพยาบาลแม่ข่าย,NULL
grouper_release,column,string,รุ่นการประมวลผล DRG,5103
check_nhso_auth,column,string,ตรวจสอบสิทธิ สปสช.,NULL
pttype_upp_type_id,column,string,รหัสประเภท UPP,NULL
default_request_funds,column,string,ค่าเริ่มต้นการขอเบิกกองทุน,"



"
